1;2690;567,07
2;8267;1949,9
74;10920291;1868,4
75;1771501;385,32
76;1771501;385,32
201;455950;523,08
202;455949;1567,2
8;36245;870
11;107023;1511,26
203;452055;5780,69
12;107023;1511,26
13;107023;1511,26
14;107023;1511,26
15;107023;1511,26
16;588;1599
208;452054;8628,3
209;1265137;2173,16
230;327569;598
231;266536;1215,69
232;266536;1215,68
233;266536;1215,68
234;78582;5062,09
41;22420;916,2
121;1773215;392,64
141;447163;5828,34
142;452085;433,41
241;914942;928,82
242;452477;3263,16
243;454905;3298,38
244;120458;534,66
245;454537;460,86
261;78780;2104,5
282;454538;3375,55
301;201091;803,43
302;44958;1469,14
303;523575;1172,91
304;453116;928,32
305;326506;7069,06
306;453115;4846,5
307;440;2844,09
308;440;2844,08
309;440;2844,08
310;6538;580,98
311;1699788;203,76
329;4581;2448
330;359;825
341;591751;147,48
342;41566725;195
343;364691;938,28
344;41960025;507
345;104406;1770
346;86;591,95
347;456247;1832,34
351;1367547;1648,35
349;104453;1260
350;1367547;1698,3
352;1367547;1648,35
353;8532;496,67
354;8532;496,67
102;44698;4677,78
103;36395;396
104;8372;276
105;1696839;2190,83
106;6622;295,87
144;450060;6992,16
145;14080;276
322;8790272;516,62
281;859544;1572
321;8790272;516,62
323;8790272;516,62
324;14821;4644,5
325;14821;4644,5
326;14821;4644,5
356;4625;4112
328;14872;4020
355;8532;496,66
357;8535;372,67
358;8535;372,67
359;8535;372,66
360;115717;435,25
361;29352;1450
362;29317;1640
22;6410;2643
23;36330;1080
24;148233;776,95
107;6618;1462,88
72;5812326;708,08
101;261504;4044
108;6618;1371,48
110;6630;128,11
162;1773216;1182,22
163;1773216;1182,22
164;1773216;1182,22
128;1773217;607,52
129;1773217;607,53
130;1773217;607,53
161;450061;772,4
165;120126;285,18
166;439955;132,36
167;745575;1079,49
168;1265136;2317,16
186;327570;3614,28
184;6061746;1590,6
185;454536;3702,06
187;1282665;1352,1
188;406472;1515,47
189;422500;547,26
190;149381;428,19
191;149381;428,2
192;14518;5047
193;14518;5047
194;14518;5047
195;10957586;1433,13
196;363835;113,4
197;206741;606,48
198;205793;1817,37
199;205793;1817,38
204;8472;1824,81
205;8472;1824,81
206;8472;1824,81
21;6621;271,3
225;1772312;3093,13
64;119923;1170,33
65;119923;1170,33
66;171662;1885,89
70;1286920;6937,88
69;5821557;680,26
81;1697727;6118,08
82;322909;389,01
383;458754;7119,86
384;458755;798,1
385;31264;1000
401;1704372;5185,77
207;8472;1824,82
226;1772312;3093,14
227;1772312;3093,14
213;34438;1753,7
214;215594;3808,7
215;3567;830
216;363783;3198,7
217;104196;1870
218;1981346;1547,6
219;168657;814,4
220;3408;270
221;699983;472,14
402;918839;1937,1
228;699981;763,89
224;699982;633,32
229;205208;1906,48
